Date,Open,High,Low,Close
07/16/2020,"3,208.36","3,220.39","3,198.59","3,215.57"
07/15/2020,"3,225.98","3,238.28","3,200.76","3,226.56"
07/14/2020,"3,141.11","3,200.95","3,127.66","3,197.52"
07/13/2020,"3,205.08","3,235.32","3,149.43","3,155.22"
07/10/2020,"3,152.47","3,186.82","3,136.22","3,185.04"
07/09/2020,"3,176.17","3,179.78","3,115.70","3,152.05"
07/08/2020,"3,153.07","3,171.80","3,136.53","3,169.94"
07/07/2020,"3,166.44","3,184.15","3,142.93","3,145.32"
07/06/2020,"3,155.29","3,182.59","3,155.29","3,179.72"
07/02/2020,"3,143.64","3,165.81","3,124.52","3,130.01"
07/01/2020,"3,105.92","3,128.44","3,101.17","3,115.86"
06/30/2020,"3,050.20","3,111.51","3,047.83","3,100.29"
06/29/2020,"3,018.59","3,053.89","2,999.74","3,053.24"
06/26/2020,"3,073.20","3,073.73","3,004.63","3,009.05"
06/25/2020,"3,046.60","3,086.25","3,024.01","3,083.76"
06/24/2020,"3,114.40","3,115.01","3,032.13","3,050.33"
06/23/2020,"3,138.70","3,154.90","3,127.12","3,131.29"
06/22/2020,"3,094.42","3,120.92","3,079.39","3,117.86"
06/19/2020,"3,140.29","3,155.53","3,083.11","3,097.74"
06/18/2020,"3,101.64","3,120.00","3,093.51","3,115.34"
06/17/2020,"3,136.13","3,141.16","3,108.03","3,113.49"
06/16/2020,"3,131.00","3,153.45","3,076.06","3,124.74"
06/15/2020,"2,993.76","3,079.76","2,965.66","3,066.59"
06/12/2020,"3,071.04","3,088.42","2,984.47","3,041.31"
06/11/2020,"3,123.53","3,123.53","2,999.49","3,002.10"
06/10/2020,"3,213.42","3,223.27","3,181.49","3,190.14"
06/09/2020,"3,213.32","3,222.71","3,193.11","3,207.18"
06/08/2020,"3,199.92","3,233.13","3,196.00","3,232.39"
06/05/2020,"3,163.84","3,211.72","3,163.84","3,193.93"
06/04/2020,"3,111.56","3,128.91","3,090.41","3,112.35"
06/03/2020,"3,098.90","3,130.94","3,098.90","3,122.87"
06/02/2020,"3,064.78","3,081.07","3,051.64","3,080.82"
06/01/2020,"3,038.78","3,062.18","3,031.54","3,055.73"
05/29/2020,"3,025.17","3,049.17","2,998.61","3,044.31"
05/28/2020,"3,046.61","3,068.67","3,023.40","3,029.73"
05/27/2020,"3,015.65","3,036.25","2,969.75","3,036.13"
05/26/2020,"3,004.08","3,021.72","2,988.17","2,991.77"
05/22/2020,"2,948.05","2,956.76","2,933.59","2,955.45"
05/21/2020,"2,969.95","2,978.50","2,938.57","2,948.51"
05/20/2020,"2,953.63","2,980.29","2,953.63","2,971.61"
05/19/2020,"2,948.59","2,964.21","2,922.35","2,922.94"
05/18/2020,"2,913.86","2,968.09","2,913.86","2,953.91"
05/15/2020,"2,829.95","2,865.01","2,816.78","2,863.70"
05/14/2020,"2,794.54","2,852.80","2,766.64","2,852.50"
05/13/2020,"2,865.86","2,874.14","2,793.15","2,820.00"
05/12/2020,"2,939.50","2,945.82","2,869.59","2,870.12"
05/11/2020,"2,915.46","2,944.25","2,903.44","2,930.32"
05/08/2020,"2,908.83","2,932.16","2,902.88","2,929.80"
05/07/2020,"2,878.26","2,901.92","2,876.48","2,881.19"
05/06/2020,"2,883.14","2,891.11","2,847.65","2,848.42"
05/05/2020,"2,868.88","2,898.23","2,863.55","2,868.44"
05/04/2020,"2,815.01","2,844.24","2,797.85","2,842.74"
05/01/2020,"2,869.09","2,869.09","2,821.61","2,830.71"
04/30/2020,"2,930.91","2,930.91","2,892.47","2,912.43"
04/29/2020,"2,918.46","2,954.86","2,912.16","2,939.51"
04/28/2020,"2,909.96","2,921.15","2,860.71","2,863.39"
04/27/2020,"2,854.65","2,887.72","2,852.89","2,878.48"
04/24/2020,"2,812.64","2,842.71","2,791.76","2,836.74"
04/23/2020,"2,810.42","2,844.90","2,794.26","2,797.80"
04/22/2020,"2,787.89","2,815.10","2,775.95","2,799.31"
04/21/2020,"2,784.81","2,785.54","2,727.10","2,736.56"
04/20/2020,"2,845.62","2,868.98","2,820.43","2,823.16"
04/17/2020,"2,842.43","2,879.22","2,830.88","2,874.56"
04/16/2020,"2,799.34","2,806.51","2,764.32","2,799.55"
04/15/2020,"2,795.64","2,801.88","2,761.54","2,783.36"
04/14/2020,"2,805.10","2,851.85","2,805.10","2,846.06"
04/13/2020,"2,782.46","2,782.46","2,721.17","2,761.63"
04/09/2020,"2,776.99","2,818.57","2,762.36","2,789.82"
